Video name,Date recorded,Time treatment added,Total time,Treatment
GOPR1533,7/26/15,2:05,12:07,Clean Plastic (low)
GOPR1537,7/26/15,2:05,12:15,Bf Plastic (med)
GOPR1541,7/26/15,2:05,12:07,Clean Plastic (high)
GOPR1544,7/26/15,2:05,12:08,Krill odor (high)
GOPR1548,7/26/15,2:05,12:10,Food
GOPR1553,7/27/15,2:05,12:14,Bf Plastic (low)
GOPR1556,7/27/15,2:05,12:09,Krill odor (low)
GOPR1562,7/27/15,2:05,12:07,Krill odor (med)
GOPR1565,7/27/15,2:05,12:08,Clean Plastic (med)
GOPR1568,7/27/15,2:05,12:09,Clean Plastic (high)
GOPR1571,7/27/15,2:05,12:07,Bf Plastic (high)
GOPR1574,7/27/15,2:05,12:08,SW Control
GOPR1577,7/27/15,2:05,12:12,Food
GOPR1580,7/28/15,2:05,12:09,Krill odor (med)
GOPR1583,7/28/15,2:05,12:08,Bf Plastic (med)
GOPR1586,7/28/15,2:05,12:09,Clean Plastic (med)
GOPR1590,7/28/15,2:05,12:08,SW Control
GOPR1597,7/28/15,2:05,12:08,Bf Plastic (high)
GOPR1600,7/28/15,2:05,12:07,Clean Plastic (high)
GOPR1604,7/28/15,2:05,12:08,Krill odor (high)
GOPR1610,7/29/15,2:05,12:09,Clean Plastic (low)
GOPR1614,7/29/15,2:05,12:07,Bf Plastic (low)
GOPR1617,7/29/15,2:05,12:08,Krill odor (low)
GOPR1621,7/29/15,2:05,12:13,Bf Plastic (high)
GOPR1624,7/29/15,2:05,12:09,Krill odor (high)
GOPR1627,7/29/15,2:05,12:07,SW Control
GOPR1630,7/29/15,2:05,12:09,Bf Plastic (high)
GOPR1633,7/29/15,2:05,4:52,Food
GOPR1636,7/30/15,2:05,12:08,Bf Plastic (low)
GOPR1639,7/30/15,2:05,12:07,Clean Plastic (low)
GOPR1642,7/30/15,2:05,12:07,Clean Plastic (med)
GOPR1645,7/30/15,2:05,12:09,Bf Plastic (med)
GOPR1648,7/30/15,2:05,12:08,SW Control
GOPR1651,7/30/15,2:05,12:07,Krill odor (med)
GOPR1655,7/30/15,2:05,12:08,Krill odor (high)
GOPR1658,7/30/15,2:05,12:13,Food
GOPR1661,7/31/15,2:05,12:08,Krill odor (low)
GOPR1664,7/31/15,2:05,12:07,Clean Plastic (low)
GOPR1667,7/31/15,2:05,12:08,SW Control
GOPR1670,7/31/15,2:05,12:08,Bf Plastic (med)
GOPR1673,7/31/15,2:05,12:10,Krill odor (high)
GOPR1677,7/31/15,2:05,12:09,Clean Plastic (high)
GOPR1680,7/31/15,2:05,12:09,Bf Plastic (high)
GOPR1688,8/1/15,2:05,12:08,Bf Plastic (low)
GOPR1691,8/1/15,2:05,12:08,SW Control
GOPR1694,8/1/15,2:05,12:08,Krill odor (med)
GOPR1697,8/1/15,2:05,12:08,Clean Plastic (med)
GOPR1700,8/1/15,2:05,12:08,Clean Plastic (high)
GOPR1705,8/1/15,2:05,12:08,Bf Plastic (high)
GOPR1708,8/1/15,2:05,12:09,Krill odor (high)
GOPR1711,8/1/15,2:05,12:05,Food
GOPR1715,8/2/15,2:05,12:07,Clean Plastic (low)
GOPR1718,8/2/15,2:05,12:08,Krill odor (low)
GOPR1721,8/2/15,2:05,12:08,Bf Plastic (med)
GOPR1728,8/2/15,2:05,12:07,SW Control
GOPR1731,8/2/15,2:05,12:08,Bf Plastic (high)
GOPR1734,8/2/15,2:05,12:09,Krill odor (high)
GOPR1737,8/2/15,2:05,12:07,Clean Plastic (high)
GOPR1740,8/3/15,2:05,12:08,SW Control
GOPR1743,8/3/15,2:05,12:08,Krill odor (low)
GOPR1746,8/3/15,2:05,12:08,Clean Plastic (med)
GOPR1750,8/3/15,2:05,12:08,Krill odor (med)
GOPR1753,8/3/15,2:05,12:09,Krill odor (high)
